movie_id,movie_name,release_year,runtime_minutes,genres,averagerating,numvotes,release_date,production_budget,domestic_gross,worldwide_gross,writers,person_ids
tt0249516,foodfight!,2012,91,"action,animation,comedy",1.9,8248,2012-12-31,45000000,0,73706,"Sean Catherine Derek, Lawrence Kasanoff, Joshua Wexler, Brent V. Friedman","nm0220297, nm0440415, nm0923312, nm0295165"
tt0359950,the secret life of walter mitty,2013,114,"adventure,comedy,drama",7.3,275300,2013-12-25,91000000,58236838,187861183,Steve Conrad,nm0175726
tt0365907,a walk among the tombstones,2014,114,"action,crime,drama",6.5,105116,2014-09-19,28000000,26017685,62108587,"Lawrence Block, Scott Frank","nm0088747, nm0291082"
tt0369610,jurassic world,2015,124,"action,adventure,sci-fi",7.0,539338,2015-06-12,215000000,652270625,1648854864,"Rick Jaffa, Amanda Silver, Colin Trevorrow","nm0415425, nm0798646, nm1119880"
tt0376136,the rum diary,2011,119,"comedy,drama",6.2,94787,2011-10-28,45000000,13109815,21544732,Bruce Robinson,nm0732430
tt0383010,the three stooges,2012,92,"comedy,family",5.1,28570,2012-04-13,30000000,44338224,54052249,"Peter Farrelly, Peter Farrelly, Mike Cerrone, Mike Cerrone, Bobby Farrelly, Bobby Farrelly","nm0268380, nm0268380, nm0148808, nm0148808, nm0268370, nm0268370"
tt0401729,john carter,2012,132,"action,adventure,sci-fi",6.6,241792,2012-03-09,275000000,73058679,282778100,"Andrew Stanton, Mark Andrews, Michael Chabon","nm0004056, nm0028764, nm0149290"
tt0427152,dinner for schmucks,2010,114,comedy,5.9,91546,2010-07-30,69000000,73026337,86796502,Francis Veber,nm0891554
tt0429493,the a-team,2010,117,"action,adventure,thriller",6.8,235256,2010-06-11,110000000,77222099,177241171,"Joe Carnahan, Brian Bloom","nm0138620, nm0089141"
tt0433035,real steel,2011,127,"action,drama,family",7.1,283534,2011-10-07,110000000,85463309,263880341,"Dan Gilroy, Jeremy Leven","nm0319659, nm0505230"
tt0435651,the giver,2014,97,"drama,romance,sci-fi",6.5,104999,2014-08-15,25000000,45090374,66540205,"Robert B. Weide, Lois Lowry","nm0004332, nm0523342"
tt0435761,toy story 3,2010,103,"adventure,animation,comedy",8.3,682218,2010-06-18,200000000,415004880,1068879522,"Andrew Stanton, John Lasseter, Michael Arndt","nm0004056, nm0005124, nm1578335"
tt0437086,alita: battle angel,2019,122,"action,adventure,sci-fi",7.5,88207,2019-02-14,170000000,85710210,402976036,"Laeta Kalogridis, James Cameron, Yukito Kishiro","nm0436164, nm0000116, nm1738737"
tt0443272,lincoln,2012,150,"biography,drama,history",7.4,228701,2012-11-09,65000000,182207973,273346281,"Tony Kushner, Doris Kearns Goodwin","nm1065785, nm0329447"
tt0443465,before we go,2014,95,"comedy,drama,romance",6.8,45181,2015-09-04,3000000,37151,483938,Ronald Bass,nm0060103
tt0443533,the history of love,2016,134,"drama,romance,war",6.3,1024,2016-11-18,20000000,0,476624,Radu Mihaileanu,nm0586123
tt0446029,scott pilgrim vs. the world,2010,112,"action,comedy,fantasy",7.5,339338,2010-08-13,85000000,31611316,48056764,"Edgar Wright, Michael Bacall, Bryan Lee O'Malley","nm0942367, nm0045209, nm1854069"
tt0448694,puss in boots,2011,90,"action,adventure,animation",6.6,133355,2011-10-28,130000000,149260504,554987477,"Brian Lynch, Andrew Adamson","nm0528244, nm0011470"
tt0451279,wonder woman,2017,141,"action,adventure,fantasy",7.5,487527,2017-06-02,150000000,412563408,821133378,"Zack Snyder, Allan Heinberg, Jason Fuchs","nm0811583, nm0374302, nm0297229"
tt0453562,42,2013,128,"biography,drama,sport",7.5,77703,2013-04-12,31000000,95020213,97470701,Brian Helgeland,nm0001338
tt0454876,life of pi,2012,127,"adventure,drama,fantasy",7.9,535836,2012-11-21,120000000,124987022,620912003,"Yann Martel, David Magee","nm1674631, nm1341735"
tt0455944,the equalizer,2014,132,"action,crime,thriller",7.2,302302,2014-09-26,55000000,101530738,192903624,"Richard Wenk, Michael Sloan","nm0921013, nm0805994"
tt0458481,sin city: a dame to kill for,2014,102,"crime,thriller",6.5,140666,2014-08-22,65000000,13757804,40650842,"Frank Miller, Frank Miller","nm0588340, nm0588340"
tt0464154,piranha 3d,2010,88,"comedy,horror",5.4,81327,2010-08-20,24000000,25003155,83660160,Josh Stolberg,nm0831457
tt0466893,margaret,2011,150,drama,6.5,14708,2011-09-30,14000000,47185,623292,Kenneth Lonergan,nm0518836
tt0470752,ex machina,2014,108,"drama,mystery,sci-fi",7.7,424542,2015-04-10,13000000,25440971,38358392,Alex Garland,nm0307497
tt0471042,tower heist,2011,104,"action,comedy,crime",6.2,125102,2011-11-04,85000000,78046570,150422946,"Ted Griffin, Jeff Nathanson","nm0341372, nm0622288"
tt0472399,the mechanic,2011,93,"action,crime,thriller",6.6,141254,2011-01-28,42500000,29121498,76347393,"Richard Wenk, Lewis John Carlino","nm0921013, nm0137573"
tt0475290,"hail, caesar!",2016,106,"comedy,drama,music",6.3,111422,2016-02-05,22000000,30080225,64160680,"Joel Coen, Joel Coen, Ethan Coen, Ethan Coen","nm0001054, nm0001054, nm0001053, nm0001053"
tt0478304,the tree of life,2011,139,"drama,fantasy",6.8,156266,2011-05-27,35000000,13305665,61721826,Terrence Malick,nm0000517
tt0478970,ant-man,2015,117,"action,adventure,comedy",7.3,501213,2015-07-17,130000000,180202163,518858449,"Edgar Wright, Adam McKay, Paul Rudd, Larry Lieber, Joe Cornish","nm0942367, nm0570912, nm0748620, nm1293367, nm0180428"
tt0480687,hall pass,2011,105,"comedy,romance",5.9,113775,2011-02-25,68000000,45060734,87173475,"Peter Farrelly, Peter Farrelly, Bobby Farrelly, Bobby Farrelly","nm0268380, nm0268380, nm0268370, nm0268370"
tt0481499,the croods,2013,98,"action,adventure,animation",7.2,176699,2013-03-22,135000000,187168425,573068425,"Kirk DeMicco, Kirk DeMicco, Chris Sanders, Chris Sanders, John Cleese, John Cleese","nm0210320, nm0210320, nm0761498, nm0761498, nm0000092, nm0000092"
tt0485985,red tails,2012,125,"action,adventure,drama",5.9,31815,2012-01-20,58000000,49876377,50365498,"John Ridley, Aaron McGruder","nm0725983, nm1412298"
tt0491203,tulip fever,2017,105,"drama,history,romance",6.2,15037,2017-09-01,25000000,2455635,6792768,"Tom Stoppard, Deborah Moggach","nm0001779, nm0595738"
tt0493405,chips,2017,100,"action,comedy,crime",6.0,37029,2017-03-24,25000000,18600152,23190292,Rick Rosner,nm0743121
tt0493949,ramona and beezus,2010,103,"adventure,comedy,family",6.6,16086,2010-07-23,15000000,26167002,27469621,Beverly Cleary,nm0165823
tt0498381,rings,2017,102,"drama,horror,mystery",4.5,34151,2017-02-03,25000000,27793018,82917283,"Akiva Goldsman, Kôji Suzuki, Jacob Estes","nm0326040, nm0840626, nm1096524"
tt0765446,escape from planet earth,2013,89,"adventure,animation,comedy",5.9,23298,2013-02-15,40000000,57012977,74156610,"Dan Mazer, Stephen Fry, Cory Edwards, Tony Leech","nm0563243, nm0000410, nm0249897, nm0498555"
tt0770703,what's your number?,2011,106,"comedy,romance",6.1,67922,2011-09-30,20000000,14011084,30163785,"Karyn Bosnak, Jennifer Crittenden","nm1271341, nm0188243"
tt0770828,man of steel,2013,143,"action,adventure,sci-fi",7.1,647288,2013-06-14,225000000,291045518,667999518,"David S. Goyer, Christopher Nolan","nm0333060, nm0634240"
tt0780653,the wolfman,2010,103,"drama,fantasy,horror",5.8,97873,2010-02-12,150000000,62189884,142634358,Andrew Kevin Walker,nm0001825
tt0790628,the incredible burt wonderstone,2013,100,"adventure,comedy,fantasy",5.9,67549,2013-03-15,32000000,22537881,27392609,"Jonathan Goldstein, John Francis Daley","nm0326246, nm0197855"
tt0790724,jack reacher,2012,130,"action,crime,thriller",7.0,284547,2012-12-21,60000000,80070736,217370736,"Christopher McQuarrie, Lee Child","nm0003160, nm1676193"
tt0790736,r.i.p.d.,2013,96,"action,adventure,comedy",5.6,109078,2013-07-19,130000000,33618855,79076678,"Matt Manfredi, David Dobkin, Peter M. Lenkov","nm0542062, nm0229694, nm0006997"
tt0800369,thor,2011,115,"action,adventure,fantasy",7.0,683264,2011-05-06,150000000,181030624,449326618,"J. Michael Straczynski, Ashley Miller, Larry Lieber, Mark Protosevich","nm0833089, nm1005420, nm1293367, nm0698873"
tt0803096,warcraft,2016,123,"action,adventure,fantasy",6.9,225557,2016-06-10,160000000,47225655,425522281,Duncan Jones,nm1512910
tt0804497,it's kind of a funny story,2010,101,"comedy,drama,romance",7.1,125583,2010-10-08,8000000,6363628,6632950,"Anna Boden, Anna Boden, Ryan Fleck, Ryan Fleck","nm1349818, nm1349818, nm0281396, nm0281396"
tt0808510,tooth fairy,2010,101,"comedy,family,fantasy",5.0,37939,2010-01-22,48000000,60022256,112610386,"Lowell Ganz, Babaloo Mandel, Joshua Sternin, J.R. Ventimilia, Jim Piddock","nm0304665, nm0541632, nm0827985, nm0893262, nm0682063"
tt0810913,jack and jill,2011,91,comedy,3.3,71361,2011-11-11,79000000,74158157,150519217,"Adam Sandler, Allen Covert, Ben Zook, Robert Smigel","nm0001191, nm0184445, nm0957840, nm0806912"
tt0816692,interstellar,2014,169,"adventure,drama,sci-fi",8.6,1299334,2014-11-05,165000000,188017894,666379375,"Jonathan Nolan, Christopher Nolan","nm0634300, nm0634240"
tt0816711,world war z,2013,116,"action,adventure,horror",7.0,553751,2013-06-21,190000000,202359711,531514650,"Drew Goddard, Damon Lindelof, J. Michael Straczynski, Max Brooks","nm1206844, nm0511541, nm0833089, nm0112150"
tt0817230,valentine's day,2010,125,"comedy,romance",5.7,107171,2010-02-12,52000000,110485654,217569328,Katherine Fugate,nm0297545
tt0837562,hotel transylvania,2012,91,"animation,comedy,family",7.1,204571,2012-09-28,85000000,148313048,378505812,Robert Smigel,nm0806912
tt0842926,the kids are all right,2010,106,"comedy,drama,romance",7.0,120656,2010-07-09,4000000,20811365,36275469,"Stuart Blumberg, Lisa Cholodenko","nm0089742, nm0158966"
tt0848537,epic,2013,102,"adventure,animation,family",6.7,95318,2013-05-24,100000000,107518682,262794441,"Tom J. Astle, Matt Ember, James V. Hart, William Joyce, Daniel Shere","nm0040022, nm0256079, nm0366337, nm0431622, nm0792092"
tt0857190,the sweeney,2012,112,"action,crime,drama",6.1,18095,2013-03-01,4500000,26345,8000366,"John Hodge, Nick Love, Ian Kennedy Martin","nm0388076, nm0522393, nm0552409"
tt0864835,mr. peabody & sherman,2014,92,"adventure,animation,comedy",6.8,57277,2014-03-07,145000000,111506430,269806430,"Thomas Lennon, Robert Ben Garant","nm0502073, nm0304830"
tt0873886,red state,2011,88,"action,crime,horror",6.2,59266,2011-09-23,4000000,1065429,1983596,Kevin Smith,nm0003620
tt0878835,please give,2010,87,"comedy,drama",6.6,10652,2010-04-30,3000000,4033574,4570178,Nicole Holofcener,nm0392237
tt0879870,eat pray love,2010,133,"drama,romance",5.8,77709,2010-08-13,60000000,80574010,206598789,"Ryan Murphy, Jennifer Salt, Elizabeth Gilbert","nm0614682, nm0759022, nm2418691"
tt0884732,the wedding ringer,2015,101,comedy,6.7,66893,2015-01-16,23000000,64460211,80171596,"Jeremy Garelick, Jay Lavender","nm1275670, nm1191891"
tt0889573,the switch,2010,101,"comedy,drama,romance",6.1,90661,2010-08-20,19000000,27758465,49858465,"Jeffrey Eugenides, Jeffrey Eugenides","nm0262325, nm0262325"
tt0892318,letters to juliet,2010,105,"adventure,comedy,drama",6.6,86137,2010-05-14,30000000,53032453,82148538,"Jose Rivera, Tim Sullivan","nm1433580, nm0003201"
tt0892769,how to train your dragon,2010,98,"action,adventure,animation",8.1,611299,2010-03-26,165000000,217581232,494870992,"Chris Sanders, Chris Sanders, Dean DeBlois, Dean DeBlois, Adam F. Goldberg, Adam F. Goldberg","nm0761498, nm0761498, nm0213450, nm0213450, nm1104057, nm1104057"
tt0892791,shrek forever after,2010,93,"adventure,animation,comedy",6.3,167532,2010-05-21,165000000,238736787,756244673,"Andrew Adamson, Ted Elliott, Terry Rossio, Matt Shire","nm0011470, nm0254645, nm0744429, nm0794252"
tt0903624,the hobbit: an unexpected journey,2012,169,"adventure,family,fantasy",7.9,719629,2012-12-14,250000000,303003568,1017003568,"Fran Walsh, Peter Jackson, Guillermo del Toro","nm0909638, nm0001392, nm0868219"
tt0905372,the thing,2011,103,"horror,mystery,sci-fi",6.2,111900,2011-10-14,38000000,16999934,27573078,Eric Heisserer,nm2104063
tt0918940,the legend of tarzan,2016,110,"action,adventure,drama",6.3,150154,2016-07-01,180000000,126643061,348902025,Craig Brewer,nm0108132
tt0935075,rabbit hole,2010,91,drama,7.0,45357,2010-12-17,5000000,2229058,6205034,David Lindsay-Abaire,nm1865755
tt0938283,the last airbender,2010,103,"action,adventure,family",4.1,137734,2010-07-01,150000000,131772187,319713881,M. Night Shyamalan,nm0796117
tt0944835,salt,2010,100,"action,mystery,thriller",6.4,277204,2010-07-23,130000000,118311368,290650494,Kurt Wimmer,nm0934483
tt0947810,green zone,2010,115,"action,drama,thriller",6.8,122132,2010-03-12,100000000,35497337,97523020,Brian Helgeland,nm0001338
tt0948470,the amazing spider-man,2012,136,"action,adventure,sci-fi",7.0,525632,2012-07-03,220000000,262030663,757890267,"James Vanderbilt, Steve Kloves","nm0888743, nm0460141"
tt0954947,the killer inside me,2010,109,"crime,drama,horror",6.1,31727,2010-06-18,13000000,217277,3617277,John Curran,nm0192845
tt0968264,the conspirator,2010,122,"crime,drama,history",6.9,26416,2011-04-15,25000000,11538204,15907411,Gregory Bernstein,nm0077052
tt0970179,hugo,2011,126,"adventure,drama,family",7.5,284869,2011-11-23,180000000,73864507,180047784,"John Logan, Brian Selznick","nm0517589, nm2561765"
tt0970866,little fockers,2010,98,"comedy,romance",5.5,99222,2010-12-22,100000000,148438600,310650574,"John Hamburg, Greg Glienna, Mary Ruth Clarke","nm0357453, nm0322839, nm0164898"
tt0974015,justice league,2017,120,"action,adventure,fantasy",6.5,329135,2017-11-17,300000000,229024295,655945209,"Joss Whedon, Chris Terrio, Zack Snyder","nm0923736, nm0006516, nm0811583"
tt0978764,sucker punch,2011,110,"action,adventure,fantasy",6.1,218371,2011-03-25,75000000,36392502,89758389,Zack Snyder,nm0811583
tt0983193,the adventures of tintin,2011,107,"action,adventure,animation",7.3,202430,2011-12-21,130000000,77591831,373993951,"Edgar Wright, Joe Cornish, Steven Moffat","nm0942367, nm0180428, nm0595590"
tt0985694,machete,2010,105,"action,crime,thriller",6.6,182320,2010-09-03,12500000,26593646,46370970,"Robert Rodriguez, Robert Rodriguez","nm0001675, nm0001675"
tt0989757,dear john,2010,108,"drama,romance,war",6.3,128657,2010-02-05,25000000,80014842,142033509,Nicholas Sparks,nm0817023
tt0990407,the green hornet,2011,119,"action,comedy,crime",5.8,148622,2011-01-14,110000000,98780042,229155503,Seth Rogen,nm0736622
tt0993842,hanna,2011,111,"action,drama,thriller",6.8,179178,2011-04-08,30000000,40259119,65343694,Seth Lochhead,nm2605946
tt0993846,the wolf of wall street,2013,180,"biography,crime,drama",8.2,1035358,2013-12-25,100000000,116900694,389870414,"Terence Winter, Jordan Belfort","nm1010540, nm0067789"
tt0999913,straw dogs,2011,110,"action,drama,thriller",5.8,30924,2011-09-16,25000000,10324441,11253821,Rod Lurie,nm0527109
tt1002563,the young messiah,2016,111,"drama,fantasy",5.6,2882,2016-03-11,16800000,6469813,7313697,"Anne Rice, Cyrus Nowrasteh","nm0723351, nm0637493"
tt1007029,the iron lady,2011,105,"biography,drama",6.4,96066,2012-01-13,14000000,29959436,115592104,Abi Morgan,nm0604448
tt1013860,dylan dog: dead of night,2010,107,"action,comedy,crime",5.1,14120,2011-04-29,20000000,1186538,6093725,Tiziano Sclavi,nm0778554
tt1014763,child 44,2015,137,"crime,drama,history",6.5,59477,2015-04-17,50000000,1224330,8004221,Richard Price,nm0697115
tt1015471,the sisterhood of night,2014,104,"drama,mystery,thriller",6.2,1888,2015-04-10,1000000,6870,6870,Steven Millhauser,nm1841035
tt1024648,argo,2012,120,"biography,drama,thriller",7.7,534683,2012-10-12,44500000,136025503,227140757,Chris Terrio,nm0006516
tt1028576,secretariat,2010,123,"biography,drama,family",7.2,24536,2010-10-08,35000000,59699513,60376247,Mike Rich,nm0723692
tt1032751,the warrior's way,2010,100,"action,fantasy,western",6.3,24271,2010-12-03,42000000,5666340,8514325,Scott Reynolds,nm0721944
tt1033575,the descendants,2011,115,"comedy,drama",7.3,223464,2011-11-16,20000000,82624961,175507800,"Alexander Payne, Jim Rash","nm0668247, nm0711110"
tt1034389,the eagle,2011,114,"action,adventure,drama",6.2,61475,2011-02-11,25000000,19490041,38993548,Jeremy Brock,nm0110591
tt1034415,suspiria,2018,152,"fantasy,horror,mystery",6.8,37360,2018-10-26,20000000,2483472,7034615,"David Kajganich, Dario Argento, Daria Nicolodi","nm1738734, nm0000783, nm0630453"
tt1041804,the nutcracker in 3d,2010,110,"action,family,fantasy",4.3,3119,2010-11-24,90000000,195459,20466016,Andrey Konchalovskiy,nm0464846
tt1043726,the legend of hercules,2014,99,"action,adventure,fantasy",4.2,50352,2014-01-10,70000000,18848538,58953319,"Sean Hood, Daniel Giat, Renny Harlin","nm0393517, nm0316417, nm0001317"
tt1045658,silver linings playbook,2012,122,"comedy,drama,romance",7.7,621018,2012-11-16,21000000,132092958,236412453,David O. Russell,nm0751102
tt1047540,parental guidance,2012,105,"comedy,family",6.1,23711,2012-12-25,25000000,77267296,120832383,"Lisa Addario, Joe Syracuse","nm0011639, nm0843467"
tt1051904,goosebumps,2015,103,"adventure,comedy,family",6.3,72858,2015-10-16,58000000,80069458,158905324,"Scott Alexander, Larry Karaszewski, R.L. Stine","nm0018735, nm0438989, nm0830419"
tt1053424,repo men,2010,111,"action,crime,sci-fi",6.3,96144,2010-03-19,32000000,13942007,18195238,Eric Garcia,nm1201715
tt1065073,boyhood,2014,165,drama,7.9,315584,2014-07-11,4000000,25379975,57273049,Richard Linklater,nm0000500
tt1067583,water for elephants,2011,120,"drama,romance",6.9,105812,2011-04-22,38000000,58709717,116809717,"Richard LaGravenese, Sara Gruen","nm0481418, nm2717485"
tt1067774,monte carlo,2011,109,"adventure,comedy,family",5.8,38731,2011-07-01,20000000,23186769,39686769,"Thomas Bezucha, Maria Maggenti","nm0080120, nm0535940"
tt1071875,ghost rider: spirit of vengeance,2011,96,"action,fantasy,thriller",4.3,103608,2012-02-17,57000000,51774002,149217355,"David S. Goyer, David S. Goyer, Scott M. Gimple, Scott M. Gimple","nm0333060, nm0333060, nm0991355, nm0991355"
tt1072748,winchester,2018,99,"biography,drama,fantasy",5.4,24351,2018-02-02,3500000,25091816,44378040,"Tom Vaughan, Tom Vaughan","nm1129343, nm1129343"
tt1074638,skyfall,2012,143,"action,adventure,thriller",7.8,592221,2012-11-08,200000000,304360277,1110526981,"John Logan, Neal Purvis, Robert Wade","nm0517589, nm0701031, nm0905498"
tt1077368,dark shadows,2012,113,"comedy,fantasy,horror",6.2,229818,2012-05-11,150000000,79727149,238202668,"Seth Grahame-Smith, John August","nm0334381, nm0041864"
tt1082807,the belko experiment,2016,89,"horror,thriller",6.1,38378,2017-03-17,5000000,10166820,11792942,James Gunn,nm0348181
tt1083452,eddie the eagle,2015,106,"biography,comedy,drama",7.4,75331,2016-02-26,23000000,15789389,45060480,Simon Kelton,nm2035069
tt1086772,blended,2014,117,"comedy,romance",6.5,106491,2014-05-23,45000000,46290741,127990741,Ivan Menchell,nm0578771
tt1091191,lone survivor,2013,121,"action,biography,drama",7.5,246641,2013-12-25,40000000,125095601,149804632,"Peter Berg, Marcus Luttrell","nm0000916, nm2877226"
tt1092026,paul,2011,104,"adventure,comedy,sci-fi",7.0,220567,2011-03-18,40000000,37412945,101162106,"Simon Pegg, Nick Frost","nm0670408, nm0296545"
tt1093357,the darkest hour,2011,89,"action,adventure,horror",4.9,55071,2011-12-25,34800000,21443494,62831715,"Leslie Bohem, M.T. Ahern","nm0092018, nm2761113"
tt1104001,tron: legacy,2010,125,"action,adventure,fantasy",6.8,296211,2010-12-17,200000000,172062763,400062763,"Brian Klugman, Steven Lisberger","nm0460206, nm0513974"
tt1105355,growing up smith,2015,102,"comedy,drama,family",6.8,910,2017-02-03,2000000,35312,35312,Anjul Nigam,nm0631413
tt1109624,paddington,2014,95,"adventure,comedy,family",7.2,84679,2015-01-16,55000000,76223578,258789097,Hamish McColl,nm0566100
tt1116184,jackass 3d,2010,95,"action,comedy,documentary",7.0,53289,2010-10-15,20000000,117229692,171685793,"Johnny Knoxville, Spike Jonze, Bam Margera, Steve-O, Chris Pontius, Jason 'Wee Man' Acuña, Preston Lacy, Ehren McGhehey, Dave England","nm0424216, nm0005069, nm0546640, nm0828177, nm0690686, nm0010338, nm1035634, nm0569199, nm0257424"
tt1120985,blue valentine,2010,112,"drama,romance",7.4,170089,2010-12-29,1000000,9737892,16566240,"Derek Cianfrance, Joey Curtis","nm0161834, nm0193387"
tt1121096,seventh son,2014,102,"action,adventure,fantasy",5.5,66565,2015-02-06,95000000,17725785,108874967,Steven Knight,nm1140275
tt1124037,free state of jones,2016,139,"action,biography,drama",6.9,45135,2016-06-24,50000000,20810036,23237252,Gary Ross,nm0002657
tt1125929,love ranch,2010,117,"biography,comedy,drama",5.6,2742,2010-06-30,25000000,137885,146149,Mark Jacobson,nm0414893
tt1126590,big eyes,2014,106,"biography,crime,drama",7.0,77447,2014-12-25,10000000,14482031,27317872,"Scott Alexander, Larry Karaszewski","nm0018735, nm0438989"
tt1126591,burlesque,2010,119,"drama,music,musical",6.4,71021,2010-11-24,55000000,39440655,90552675,Steve Antin,nm0031078
tt1126618,morning glory,2010,107,"comedy,drama,romance",6.5,67367,2010-11-10,40000000,31011732,59795070,Aline Brosh McKenna,nm0112459
tt1130884,shutter island,2010,138,"mystery,thriller",8.1,1005960,2010-02-19,80000000,128012934,299461782,"Dennis Lehane, Laeta Kalogridis","nm1212331, nm0436164"
tt1133985,green lantern,2011,114,"action,adventure,sci-fi",5.5,252281,2011-06-17,200000000,116601172,219535492,"Greg Berlanti, Marc Guggenheim, Michael Goldenberg","nm0075528, nm0973233, nm0325533"
tt1135084,takers,2010,107,"action,crime,thriller",6.2,53377,2010-08-27,32000000,57744720,70587268,Gabriel Casseus,nm0144133
tt1137450,death wish,2018,107,"action,crime,drama",6.4,50279,2018-03-02,30000000,34017028,48575965,Joe Carnahan,nm0138620
tt1137470,accidental love,2015,100,"comedy,romance",4.1,7048,2015-03-17,26000000,0,135436,Kristin Gore,nm0330751
tt1139328,the ghost writer,2010,128,"drama,mystery,thriller",7.2,148274,2010-02-19,45000000,15541549,65532491,"Roman Polanski, Robert Harris","nm0000591, nm0365249"
tt1142977,frankenweenie,2012,87,"animation,comedy,family",7.0,89489,2012-10-05,39000000,35287788,81150788,"John August, Leonard Ripps","nm0041864, nm0728125"
tt1152822,freakonomics,2010,93,documentary,6.4,6466,2010-10-01,2900000,101270,172867,"Alex Gibney, Alex Gibney, Alex Gibney, Alex Gibney, Alex Gibney, Alex Gibney, Morgan Spurlock, Morgan Spurlock, Morgan Spurlock, Morgan Spurlock, Morgan Spurlock, Morgan Spurlock, Steven Levitt, Steven Levitt, Steven Levitt, Steven Levitt, Steven Levitt, Steven Levitt, Stephen Dubner, Stephen Dubner, Stephen Dubner, Stephen Dubner, Stephen Dubner, Stephen Dubner","nm0316795, nm0316795, nm0316795, nm0316795, nm0316795, nm0316795, nm1041597, nm1041597, nm1041597, nm1041597, nm1041597, nm1041597, nm1912331, nm1912331, nm1912331, nm1912331, nm1912331, nm1912331, nm2762842, nm2762842, nm2762842, nm2762842, nm2762842, nm2762842"
tt1161864,the rite,2011,114,"drama,horror,mystery",6.0,85604,2011-01-28,37000000,33047633,97143987,Matt Baglio,nm2883153
tt1164999,biutiful,2010,148,"drama,romance",7.5,80382,2011-01-28,35000000,5101237,24687524,Alejandro G. Iñárritu,nm0327944
tt1170358,the hobbit: the desolation of smaug,2013,161,"adventure,fantasy",7.8,565563,2013-12-13,250000000,258366855,960366855,"Fran Walsh, Peter Jackson, Guillermo del Toro","nm0909638, nm0001392, nm0868219"
tt1171222,baggage claim,2013,96,comedy,5.1,8296,2013-09-27,8500000,21569509,22885836,David E. Talbert,nm0847859
tt1178665,a walk in the woods,2015,104,"adventure,biography,comedy",6.3,22033,2015-09-02,8000000,29499394,37119358,"Michael Arndt, Bill Bryson","nm1578335, nm0117445"
tt1179034,from paris with love,2010,92,"action,crime,thriller",6.5,107079,2010-02-05,52000000,24077427,53139168,Luc Besson,nm0000108
